Zeit [s];r [rad];u1;d;y2 [rad]
5.61;31.415927;-1.208800396;0;30.04305055
5.62;31.415927;-1.20880297;0;30.04305055
5.63;31.415927;-1.208805489;0;30.04305055
5.64;31.415927;-1.208807957;0;30.04305055
5.65;31.415927;-1.208810374;0;30.04305055
5.66;31.415927;-1.208812743;0;30.04305055
5.67;31.415927;-1.208815066;0;30.04305055
5.68;31.415927;-1.208817346;0;30.04305055
5.69;31.415927;-1.208819584;0;30.04305055
5.7;31.415927;-1.208821782;0;30.04305055
5.71;31.415927;-1.208823941;0;30.04305055
5.72;31.415927;-1.208826063;0;30.04305055
5.73;31.415927;-1.20882815;0;30.04305055
5.74;31.415927;-1.208830204;0;30.04305055
5.75;31.415927;-1.208832225;0;30.04305055
5.76;31.415927;-1.208834216;0;30.04305055
5.77;31.415927;-1.208836177;0;30.04305055
5.78;31.415927;-1.208838109;0;30.04305055
5.79;31.415927;-1.208840015;0;30.04305055
5.8;31.415927;-1.208841895;0;30.04305055
5.81;31.415927;-1.20884375;0;30.04305055
5.82;31.415927;-1.208845581;0;30.04305055
5.83;31.415927;-1.208847389;0;30.04305055
5.84;31.415927;-1.208849176;0;30.04305055
5.85;31.415927;-1.208850942;0;30.04305055
5.86;31.415927;-1.208852688;0;30.04305055
5.87;31.415927;-1.208854415;0;30.04305055
5.88;31.415927;-1.208856123;0;30.04305055
5.89;31.415927;-1.208857815;0;30.04305055
5.9;31.415927;-1.208859489;0;30.04305055
5.91;31.415927;-1.208861148;0;30.04305055
5.92;31.415927;-1.208862791;0;30.04305055
5.93;31.415927;-1.208864419;0;30.04305055
5.94;31.415927;-1.208866034;0;30.04305055
5.95;31.415927;-1.208867635;0;30.04305055
5.96;31.415927;-1.208869223;0;30.04305055
5.97;31.415927;-1.208870799;0;30.04305055
5.98;31.415927;-1.208872363;0;30.04305055
5.99;31.415927;-1.208873916;0;30.04305055
6;31.415927;-1.208875458;0;30.04305055
6.01;31.415927;-1.20887699;0;30.04305055
6.02;31.415927;-1.208878512;0;30.04305055
6.03;31.415927;-1.208880024;0;30.04305055
6.04;31.415927;-1.208881528;0;30.04305055
6.05;31.415927;-1.208883023;0;30.04305055
6.06;31.415927;-1.208884509;0;30.04305055
6.07;31.415927;-1.208885987;0;30.04305055
