Zeit [s];r [v];l [v];ySystune [v];yGenetic [v];yDifferentialEvol [v]
;-;-;-;-;-
0;4;3;1;1;1
0;ebbd34;e0162e;3189f5;2cf533;cc2cf5
4.16;8;0;7.75452015;8.009074192;8.033885203
4.17;8;0;8.109929394;8.027440784;7.990385384
4.18;8;0;8.057407338;7.959452196;7.978463216
4.19;8;0;7.798986489;8.029051889;7.967507712
4.2;8;0;8.058696223;7.92207461;7.982329865
4.21;8;0;8.020029703;8.047096265;7.967829933
4.22;8;0;7.818641908;7.900163621;7.985229852
4.23;8;0;8.070618404;8.056118454;7.964929947
4.24;8;0;7.954296666;7.928841241;7.993607592
4.25;8;0;8.002307554;8.058051781;7.977174333
4.26;8;0;8.010363076;7.960741078;8.021963028
4.27;8;0;7.966863271;8.062240655;8.017129714
4.28;8;0;7.945274489;8.001663113;8.05482957
4.29;8;0;7.965896609;8.048385149;8.006174205
4.3;8;0;7.955585548;8.033562982;8.036462971
4.31;8;0;7.976852113;7.986518735;7.9968298
4.32;8;0;7.957841092;8.026474121;8.019385261
4.33;8;0;7.978140996;7.947207812;7.965574388
4.34;8;0;7.959452196;8.012296401;8.025829679
4.35;8;0;7.990385384;7.950752239;7.944630047
4.36;8;0;8.003596438;8.000374229;8.022285249
4.37;8;0;8.033562982;7.964285506;7.922719051
4.38;8;0;7.98426319;7.939796739;8.01551861
4.39;8;0;8.028729668;8.001663113;7.944307827
4.4;8;0;7.986196514;7.98877428;7.941407842
4.41;8;0;8.017451935;8.041618507;8.049029591
4.42;8;0;7.943985606;8.00810753;8.018096377
4.43;8;0;8.055151791;8.050640696;8.059662886
4.44;8;0;7.868263809;8.005851984;8.011651959
4.45;8;0;8.080285039;8.035174087;8.046451822
4.46;8;0;8.061918434;7.998440904;7.999085346
4.47;8;0;7.92175239;8.036785192;8.031951877
4.48;8;0;7.949785577;7.971374361;7.97105214
4.49;8;0;7.943663386;8.020996365;8.026796342
4.5;0;0;7.969763257;7.93431899;7.951074459
4.51;0;0;7.797375389;7.548299794;7.596632639
4.52;0;0;7.007618437;7.201270863;7.226403825
4.53;0;0;6.761445317;6.702802093;6.733412562
4.54;0;0;6.271679;6.214647186;6.270067932
4.55;0;0;5.816392171;5.735516977;5.810592354
4.56;0;0;5.399772916;5.315998195;5.348863654
4.57;0;0;4.961567494;4.956734357;4.973167023
4.58;0;0;4.638392245;4.606815856;4.647091865
4.59;0;0;4.295885589;4.2362773;4.286863792
4.6;0;0;3.955957675;3.96369062;3.998488882
4.61;0;0;3.686915936;3.625696945;3.675960956
4.62;0;0;3.389198616;3.379210277;3.427540956
4.63;0;0;3.145290059;3.106303398;3.14625667
